Instance,Cost,Bound,Opt,Time,NodesExpanded,NodesGenerated
gtsplib\PCGLNS_PCGTSP\ESC07.pcglns,1730,1730,True,0.0270167,1626,2196
gtsplib\PCGLNS_PCGTSP\ESC12.pcglns,1390,1390,True,1.708793,81031,104353
gtsplib\PCGLNS_PCGTSP\ESC25.pcglns,1383,716,False,1203.8263436,14061040,34773289
gtsplib\PCGLNS_PCGTSP\ESC47.pcglns,1231,156,False,1200.7257889,9173282,36506786
gtsplib\PCGLNS_PCGTSP\ESC63.pcglns,62,-7,False,1200.3666294,8059744,19520899
gtsplib\PCGLNS_PCGTSP\ESC78.pcglns,15872,1919,False,1200.7702157,9904111,35524476
gtsplib\PCGLNS_PCGTSP\br17.10.pcglns,43,43,True,9.1778966,379013,446255
gtsplib\PCGLNS_PCGTSP\br17.12.pcglns,43,43,True,4.8463368,199503,236465
gtsplib\PCGLNS_PCGTSP\ft53.1.pcglns,6976,3030,False,1200.9371528,9049705,34142899
gtsplib\PCGLNS_PCGTSP\ft53.2.pcglns,7300,2449,False,1202.6376207,12410812,40256154
gtsplib\PCGLNS_PCGTSP\ft53.3.pcglns,9136,2204,False,1201.7125138,13539657,31052941
gtsplib\PCGLNS_PCGTSP\ft53.4.pcglns,11823,3746,False,1201.0758059,10586580,14573117
gtsplib\PCGLNS_PCGTSP\ft70.1.pcglns,35498,22947,False,1201.17314,8696889,36363125
gtsplib\PCGLNS_PCGTSP\ft70.2.pcglns,36032,18984,False,1200.6916177,9230423,36841752
gtsplib\PCGLNS_PCGTSP\ft70.3.pcglns,38639,13219,False,1200.5722685,11003170,32995926
gtsplib\PCGLNS_PCGTSP\ft70.4.pcglns,45175,8943,False,1200.1783681,7253407,10526940
gtsplib\PCGLNS_PCGTSP\kro124p.1.pcglns,41569,20140,False,1200.1637593,5276660,24257124
gtsplib\PCGLNS_PCGTSP\kro124p.2.pcglns,41778,16612,False,1200.4203022,6396558,27853432
gtsplib\PCGLNS_PCGTSP\kro124p.3.pcglns,48167,11659,False,6336.5590671,6360391,22618770
gtsplib\PCGLNS_PCGTSP\kro124p.4.pcglns,79281,5614,False,28483.2687671,7407,23072
gtsplib\PCGLNS_PCGTSP\p43.1.pcglns,23019,391,False,3584.9198174,26198,94474
gtsplib\PCGLNS_PCGTSP\p43.2.pcglns,23019,402,False,1545.0295986,621539,1705918
ESC07.pcglns,1730,1730,True,0.0218806,1623,2179
ESC07.pcglns,1730,1730,True,0.0214531,1626,2196
ESC07.pcglns,1730,1730,True,0.0259427,1623,2179
